,name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height,opponent,outcome,name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height
0,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,johns,Win,johns,bantamweight,0,[48%],[31%],165.0,342.0,1.0,13.0,"3.33
              ","2.42
          ","1.21
              ","0.00
          ","68
                  %","88
                      %","0.61
              ","12:23
          ",145,88%,12,7%,8,5%,122,18,25,(74%),(11%),(15%),3,2,6,(27%),(18%),(55%),11,1,27.0,37.0,68.0,67.0
1,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,mendes,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,barao,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,moraes,,moraes,bantamweight,6,[35%],[25%],113.0,327.0,1.0,4.0,"3.23
              ","2.60
          ","0.43
              ","0.86
          ","66
                  %","60
                      %","1.72
              ","06:59
          ",56,50%,30,27%,27,24%,103,0,10,(91%),(0%),(9%),10,6,7,(43%),(26%),(30%),23,7,32.0,37.0,67.0,66.0
4,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,eduardo,Win,eduardo,bantamweight,0,[38%],[0%],173.0,455.0,,4.0,"2.89
              ","3.34
          ","0.00
              ","0.50
          ","64
                  %","63
                      %","0.50
              ","08:34
          ",95,55%,15,9%,63,36%,156,7,10,(90%),(4%),(6%),10,11,7,(36%),(39%),(25%),28,12,42.0,38.0,71.0,67.0
5,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,stamann,Win,stamann,bantamweight,14,[47%],[44%],519.0,1110.0,15.0,54.0,"4.03
              ","3.36
          ","2.80
              ","0.00
          ","63
                  %","75
                      %","0.00
              ","14:18
          ",339,65%,128,25%,52,10%,379,75,65,(73%),(14%),(13%),6,2,11,(32%),(11%),(58%),19,4,31.0,35.0,64.0,66.0
6,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,rivera,Win,rivera,bantamweight,0,[40%],[28%],552.0,1368.0,5.0,29.0,"4.03
              ","3.90
          ","0.88
              ","0.11
          ","60
                  %","93
                      %","0.33
              ","12:27
          ",298,54%,114,21%,140,25%,485,54,13,(88%),(10%),(2%),4,2,17,(17%),(9%),(74%),23,5,31.0,37.0,68.0,64.0
7,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,munhoz,Win,munhoz,bantamweight,9,[44%],[21%],863.0,1962.0,7.0,33.0,"5.60
              ","5.87
          ","0.68
              ","0.78
          ","59
                  %","80
                      %","0.49
              ","10:16
          ",465,54%,161,19%,237,27%,777,45,41,(90%),(5%),(5%),5,8,6,(26%),(42%),(32%),19,6,34.0,36.0,64.0,66.0
8,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,sandhagen,Win,sandhagen,bantamweight,3,[48%],[44%],514.0,1081.0,1.0,9.0,"6.32
              ","4.05
          ","0.74
              ","0.55
          ","59
                  %","66
                      %","0.74
              ","09:02
          ",343,67%,77,15%,94,18%,403,26,85,(78%),(5%),(17%),6,3,5,(43%),(21%),(36%),14,3,29.0,40.0,70.0,71.0
9,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,yan,Win,yan,bantamweight,1,[52%],[67%],671.0,1288.0,,24.0,"5.99
              ","3.55
          ","2.14
              ","0.13
          ","63
                  %","90
                      %","1.20
              ","14:01
          ",493,73%,136,20%,42,6%,426,89,156,(63%),(13%),(23%),7,1,7,(47%),(7%),(47%),15,2,28.0,38.0,67.0,67.0
10,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,yan,upcoming,yan,bantamweight,1,[52%],[67%],671.0,1288.0,,24.0,"5.99
              ","3.55
          ","2.14
              ","0.13
          ","63
                  %","90
                      %","1.20
              ","14:01
          ",493,73%,136,20%,42,6%,426,89,156,(63%),(13%),(23%),7,1,7,(47%),(7%),(47%),15,2,28.0,38.0,67.0,67.0
11,sterling,bantamweight,0,[50%],[25%],900.0,1814.0,21.0,89.0,"4.84
              ","2.20
          ","1.77
              ","0.89
          ","63
                  %","41
                      %","0.00
              ","12:24
          ",443,49%,298,33%,159,18%,606,148,146,(67%),(16%),(16%),2,8,9,(11%),(42%),(47%),20,3,32.0,39.0,71.0,67.0,mizugaki,upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
