name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height,opponent,outcome
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,daukaus,upcoming
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,blaydes,
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,tybura,Win
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,arloki,Win
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,sherman,Win
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,lewis,
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,harris,Win
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,hamilton,Win
abdurakhimov,heavyweightdivision,7,[45%],[24%],210,469,5,29,"2.45
              ","2.45
          ","1.23
              ","0.18
          ","59
                  %","47
                      %","0.35
              ","10:43
          ",131,62%,37 ,18%,42,20%,129 ,59  ,22 ,(61%),(28%),(10%),9 ,4 ,7  ,(45%),(20%),(35%),20,5,39,41,76,75,johnson,
abreu,formerfighter,0,[32%],[43%],80,252,,7,"3.79
              ","3.98
          ","2.13
              ","0.71
          ","68
                  %","100
                      %","1.42
              ","10:33
          ",65,81%,10 ,13%,5,6%,58 ,13  ,9 ,(73%),(16%),(11%),3 ,2 ,0  ,(60%),(40%),(0%),5,1,34,,73,71,collier,upcoming
abreu,formerfighter,0,[32%],[43%],80,252,,7,"3.79
              ","3.98
          ","2.13
              ","0.71
          ","68
                  %","100
                      %","1.42
              ","10:33
          ",65,81%,10 ,13%,5,6%,58 ,13  ,9 ,(73%),(16%),(11%),3 ,2 ,0  ,(60%),(40%),(0%),5,1,34,,73,71,silva,Win
abreu,lightheavyweightdivision,0,[41%],[20%],96,236,,10,"2.05
              ","2.90
          ","0.64
              ","0.00
          ","56
                  %","80
                      %","0.00
              ","11:43
          ",38,40%,20 ,21%,38,40%,86 ,10  ,0 ,(90%),(10%),(0%),4 ,10 ,1  ,(27%),(67%),(7%),15,5,27,40,74,74,hill,
abreu,lightheavyweightdivision,0,[41%],[20%],96,236,,10,"2.05
              ","2.90
          ","0.64
              ","0.00
          ","56
                  %","80
                      %","0.00
              ","11:43
          ",38,40%,20 ,21%,38,40%,86 ,10  ,0 ,(90%),(10%),(0%),4 ,10 ,1  ,(27%),(67%),(7%),15,5,27,40,74,74,gamzatov,
abreu,lightheavyweightdivision,0,[41%],[20%],96,236,,10,"2.05
              ","2.90
          ","0.64
              ","0.00
          ","56
                  %","80
                      %","0.00
              ","11:43
          ",38,40%,20 ,21%,38,40%,86 ,10  ,0 ,(90%),(10%),(0%),4 ,10 ,1  ,(27%),(67%),(7%),15,5,27,40,74,74,alvey,Win
abreu,lightheavyweightdivision,0,[41%],[20%],96,236,,10,"2.05
              ","2.90
          ","0.64
              ","0.00
          ","56
                  %","80
                      %","0.00
              ","11:43
          ",38,40%,20 ,21%,38,40%,86 ,10  ,0 ,(90%),(10%),(0%),4 ,10 ,1  ,(27%),(67%),(7%),15,5,27,40,74,74,ankalaev,
adams,formerfighter,0,[51%],[67%],177,347,2,3,"6.17
              ","4.67
          ","1.05
              ","0.00
          ","35
                  %","57
                      %","0.00
              ","07:11
          ",136,77%,31 ,18%,10,6%,98 ,43  ,36 ,(55%),(24%),(20%),5 ,0 ,0  ,(100%),(0%),(0%),5,3,28,42,80,77,tafa,
adams,formerfighter,0,[51%],[67%],177,347,2,3,"6.17
              ","4.67
          ","1.05
              ","0.00
          ","35
                  %","57
                      %","0.00
              ","07:11
          ",136,77%,31 ,18%,10,6%,98 ,43  ,36 ,(55%),(24%),(20%),5 ,0 ,0  ,(100%),(0%),(0%),5,3,28,42,80,77,hardy,
